NO. 471	(0,2,1,17,26)
NO. 472	(0,1,1,16,27)
NO. 473	(1,1,1,14,25)
NO. 474	(0,2,1,16,26)
NO. 475	(0,2,1,15,26)
NO. 476	(0,1,1,15,27)
NO. 477	(1,1,1,15,26)
NO. 478	(0,2,1,16,27)
NO. 479	(0,2,1,16,27)
NO. 480	(0,1,1,15,28)
NO. 481	(1,1,1,14,24)
NO. 482	(0,2,1,15,25)
NO. 483	(0,2,1,15,25)
NO. 484	(0,1,1,14,26)
NO. 485	(1,1,1,14,25)
NO. 486	(0,2,1,15,26)
NO. 487	(0,2,1,15,26)
NO. 488	(0,1,1,14,27)
NO. 489	(1,1,1,15,25)
NO. 490	(0,2,1,16,26)
NO. 491	(0,2,1,16,26)
NO. 492	(0,1,1,16,27)
NO. 493	(1,1,1,15,26)
NO. 494	(0,2,1,16,27)
NO. 495	(0,2,1,16,27)
NO. 496	(0,1,1,16,28)
NO. 497	(1,1,1,15,25)
NO. 498	(0,2,1,16,26)
NO. 499	(0,2,1,16,26)
NO. 500	(0,1,1,16,27)
NO. 501	(1,1,1,15,26)
NO. 502	(0,2,1,16,27)
NO. 503	(0,2,1,16,27)
NO. 504	(0,1,1,16,28)
NO. 505	(1,1,1,14,26)
NO. 506	(0,2,1,15,27)
NO. 507	(0,2,1,15,27)
NO. 508	(0,1,1,15,28)
NO. 509	(1,1,1,14,27)
NO. 510	(0,2,1,15,28)
NO. 511	(0,2,1,15,28)
NO. 512	(0,1,1,15,29)
NO. 513	(1,2,1,12,21)
NO. 514	(0,3,1,13,22)
NO. 515	(0,3,1,13,22)
NO. 516	(0,2,1,13,23)
NO. 517	(1,2,1,12,22)
NO. 518	(0,3,1,13,23)
NO. 519	(0,3,1,14,23)
NO. 520	(0,2,1,13,24)
NO. 521	(1,1,1,13,22)
NO. 522	(0,2,1,14,23)
NO. 523	(0,2,1,14,23)
NO. 524	(0,1,1,14,24)
NO. 525	(1,1,1,13,23)
NO. 526	(0,2,1,16,24)
NO. 527	(0,2,1,15,24)
NO. 528	(0,1,1,16,25)
NO. 529	(1,1,1,13,22)
NO. 530	(0,2,1,14,23)
NO. 531	(0,2,1,14,23)
NO. 532	(0,1,1,14,24)
NO. 533	(1,1,1,13,23)
NO. 534	(0,2,1,16,24)
NO. 535	(0,2,1,15,24)
NO. 536	(0,1,1,16,25)
NO. 537	(1,1,1,12,23)
NO. 538	(0,2,1,14,24)
NO. 539	(0,2,1,13,24)
NO. 540	(0,1,1,14,25)
NO. 541	(1,1,1,13,24)
NO. 542	(0,2,1,15,25)
NO. 543	(0,2,1,15,25)
NO. 544	(0,1,1,16,26)
NO. 545	(1,1,1,12,22)
NO. 546	(0,2,1,14,23)
NO. 547	(0,2,1,13,23)
NO. 548	(0,1,1,13,24)
NO. 549	(1,1,1,12,23)
NO. 550	(0,2,1,13,24)
NO. 551	(0,2,1,14,24)
NO. 552	(0,1,1,14,25)
NO. 553	(1,1,1,13,23)
NO. 554	(0,2,1,14,24)
NO. 555	(0,2,1,14,24)
NO. 556	(0,1,1,14,25)
